,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Gm24296,0,0,0,0,0,0,0,0
Mir8104,0,0,0,0,0,0,0,0
Gm22738,0,0,0,0,0,0,0,0
Rnf113a2,583,477,423,478,485,498,478,557
Mfsd6l,0,0,0,0,0,0,0,0
Gm28890,0,0,0,0,0,0,0,0
Gm17911,0,0,0,0,0,0,0,0
Arl1,10224,7011,7590,8185,7306,7311,6926,6821
Gm44665,0,0,0,0,0,0,0,0
Gm29564,0,0,0,0,0,0,0,0
Gm45399,2,0,0,4,3,0,0,0
Ndufaf5,387,279,246,201,286,304,225,257
Rbm14,1258,953,1074,1030,877,869,649,646
Olfr9,0,0,0,0,0,0,0,0
Nags,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0
Gm49113,0,0,0,0,0,0,0,0
Gm18588,597,404,447,334,456,426,300,250
Gm9311,0,0,0,2,1,4,4,8
Rpl7a-ps2,0,0,0,0,0,0,0,0
Gm29426,0,0,0,0,0,0,0,0
Gm12963,27,19,11,14,20,30,34,46
Tssk1,6,8,6,12,4,2,0,2
Gm10376,0,0,0,0,0,0,0,0
mt-Rnr1,12598,8801,8124,8774,7900,8789,15581,16284
Zfp507,2221,1625,1603,1516,1752,1763,1437,1340
Gm45004,2,1,0,0,0,0,0,0
Rtp4,1126,821,433,647,481,532,1293,2487
Slc2a10,1001,712,783,848,795,836,803,863
Gm6248,0,0,0,4,0,0,2,0
Mir6912,0,0,0,0,0,0,0,0
Gzmd,8,8,8,9,12,8,0,2
Lncbate10,0,0,0,0,0,0,0,0
Gm7821,0,0,0,0,0,0,0,0
Ldhb-ps,20,10,12,12,7,33,28,12
Snord57,0,0,0,0,0,0,0,0
D230030E09Rik,0,0,0,0,0,0,0,0
Gm49795,0,0,0,0,0,0,0,0
Phlda3,6678,4704,4715,4644,4748,4727,4401,5306
Rnf115,1943,1291,1184,1280,1461,1538,1256,1250
Gm5612,0,0,0,2,0,0,0,0
Olfr55,0,0,0,0,0,2,1,0
Gm37754,0,0,2,2,0,2,12,2
Gm42856,0,0,0,0,0,2,0,0
Gm15141,0,0,0,0,0,0,0,0
Gm42667,0,0,0,0,0,0,0,0
1500002C15Rik,83,47,67,67,53,61,50,66
Obox4-ps39,0,0,0,0,0,0,0,0
Mill1,0,0,0,0,0,0,0,0
Ighv3-8,0,0,0,0,0,0,0,0
Gm26993,0,0,0,0,0,0,0,0
Gm4977,226,178,151,189,187,189,156,132
Gm17571,0,0,0,0,0,0,0,0
Gm32283,0,0,0,0,0,0,0,0
Gm37004,0,2,0,0,0,0,0,0
Gm9167,0,0,0,0,0,0,0,0
Gm16167,0,0,0,0,0,0,0,0
Mrpl51,2519,1789,1561,1850,1745,1688,1144,1180
Gm9930,0,0,0,0,0,0,0,0
Gm21828,0,0,0,0,0,0,0,0
Coa3,1469,1038,967,1140,1113,1123,964,950
Car4,0,0,0,0,0,0,0,0
Rpl30-ps6,0,0,0,0,0,0,2,0
Gm8340,0,0,0,0,0,0,0,0
Rnft2,73,54,74,70,64,79,154,122
Gm28584,0,0,0,0,0,0,0,0
Nlrp1a,0,0,0,0,0,0,0,0
Gm47014,0,0,0,0,0,0,0,0
Gm10182,10,16,18,12,17,11,10,8
Endog,119,77,98,74,56,72,62,106
Ddi2,3432,2356,2156,2201,2367,2482,2220,2114
E130311K13Rik,447,323,302,300,309,306,510,504
Gm17169,0,0,0,0,0,0,0,0
Ccn6,0,0,2,0,0,2,0,2
Gm5229,0,0,0,0,0,0,0,0
Gm43530,0,0,0,0,0,0,0,0
Ap4e1,650,499,527,543,438,568,456,417
Gm5157,0,0,0,0,0,0,0,0
Ctxn1,1881,1554,1394,1435,1248,1124,572,580
B020004C17Rik,0,0,0,0,0,0,0,0
Ndufv1,2942,2207,2116,2194,2057,2115,1499,1688
Gm5147,0,2,0,0,0,0,0,0
Cdx2,0,0,0,0,0,0,0,0
Gm19936,0,0,0,0,0,0,0,0
Pira12,0,0,0,0,0,0,0,0
A930028O11Rik,0,0,0,0,0,0,0,0
C1qbp,4347,2922,2817,2822,2876,2832,1489,1694
Gm4904,0,0,0,0,0,0,0,0
Aldh8a1,0,0,0,2,0,2,2,0
Gnb1-ps3,0,0,0,0,0,0,0,0
Gm22365,0,0,0,0,0,0,0,0
Mrps30,973,707,678,731,669,742,541,510
Ubl5b,0,0,0,0,0,0,0,0
Gm6991,0,0,0,0,0,0,0,0
Gm15239,0,0,0,0,0,0,0,0
Gcsam,0,0,0,0,0,0,0,0
Gm5621,179,134,143,170,108,136,162,155
Dusp22,380,319,256,286,325,296,426,414
Mettl23,400,273,202,229,231,258,275,240
Dnase2b,0,0,0,0,0,0,0,0
Gm45101,0,0,0,0,0,0,0,0
Scgb1b19,0,0,0,0,0,0,0,0
Myadml2os,0,0,0,0,0,0,0,0
Gm28897,0,0,0,0,0,0,0,0
Gm29817,0,0,0,0,0,0,0,0
Slc13a4,0,0,0,0,2,0,0,0
Vmn1r200,0,0,0,0,0,0,0,0
Gm18236,0,0,0,0,0,0,0,0
Gm4870,14,8,12,14,11,4,6,2
Gm25552,0,0,0,0,0,0,0,0
Gm32540,0,0,0,0,0,0,0,0
Mir325,0,0,0,0,0,0,0,0
Gm3372,0,0,0,0,0,0,0,0
Dnmt3l,96,71,77,96,74,64,30,30
1700030C14Rik,0,0,0,0,0,0,0,0
Gm5874,19,19,28,10,35,26,18,19
Rbm5,4127,2865,2823,2842,2895,3121,3033,3724
Gm4383,0,0,0,0,0,1,0,0
Gm12390,0,0,0,0,0,2,0,0
Oxa1l,1778,1261,1198,1189,1457,1555,1345,1614
Gm29445,0,0,0,0,0,0,0,0
7630403G23Rik,0,0,0,0,0,0,0,0
Gm42686,0,0,0,0,0,0,0,0
Gm2860,0,0,0,0,0,0,2,0
Gm11945,2,0,0,0,4,0,2,2
Tdrkh,426,251,428,388,324,401,200,171
4933411G06Rik,0,0,0,0,0,0,0,0
Gm49674,0,0,0,0,0,0,0,0
Xbp1,6458,4761,5407,5562,3912,4057,3631,3966
Ighv1-21-1,0,0,0,0,0,0,0,0
Vmn2r-ps78,0,0,0,0,0,0,0,0
Gm8540,0,0,0,0,0,0,0,0
Gm42889,0,0,0,0,0,0,0,0
Gm22606,0,0,0,0,0,0,0,0
Mylpf,40,34,36,33,36,49,34,52
Gm40932,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0
Olfr829,0,0,0,0,0,0,0,0
Gm11913,0,0,0,0,0,0,0,0
Gm27006,2,2,0,2,0,2,0,2
Bhlhe41,971,688,498,518,825,772,571,708
Ankrd13b,1674,1194,1349,1380,1119,1102,623,769
Izumo2,0,0,0,0,0,0,0,0
Gm47067,0,0,0,0,0,0,0,0
Gm13016,0,0,0,0,0,0,0,0
Olfr541,0,0,0,0,0,0,0,0
Gm20850,0,0,0,0,0,0,0,0
Gm48108,0,0,0,0,0,0,0,0
Gm43351,0,0,0,0,0,0,0,0
Gm11360,0,0,0,0,0,0,0,0
Mir7670,0,0,0,0,0,0,0,0
Mir1932,5,1,0,2,8,0,2,3
Gm16968,0,0,0,0,0,0,0,0
Gm22573,0,2,4,2,4,0,0,0
Gm38225,0,0,0,0,0,0,0,0
Vmn1r165,0,0,0,0,0,0,0,0
Gm14785,0,0,0,0,0,0,0,0
Gm15318,0,0,0,0,0,0,0,0
Gstm2-ps1,132,111,85,100,80,117,125,139
Gm48278,0,0,0,0,0,0,0,0
Gm28950,0,0,0,0,0,0,0,0
Skor2,0,0,0,0,0,0,0,0
1700008B11Rik,0,0,0,0,0,4,0,0
Olfr12,2,0,0,0,0,0,0,0
Olfr1214,0,0,0,0,0,0,0,0
Vrtn,0,0,0,0,0,0,0,0
Gm7952,0,0,0,0,0,0,0,0
Sgo2b,2,0,0,0,0,2,0,0
Gm44692,0,0,0,0,0,0,0,0
Gm2423,235,141,152,127,135,187,172,118
Gm3699,22,6,4,13,4,7,8,1
6430511E19Rik,4,2,2,6,4,10,6,18
Gm29416,0,0,0,0,0,0,0,0
4930415L06Rik,0,0,0,0,0,0,0,0
Gm43110,26,20,15,28,24,24,10,3
Gm7753,0,0,0,0,0,0,0,0
Gm25275,0,0,0,0,0,0,0,0
Mdfi,129,102,117,94,82,100,207,274
Gm11770,2,0,0,0,0,0,0,4
4930417O22Rik,0,0,0,0,0,0,0,0
Gm17233,0,0,0,2,0,0,0,0
Mpz,16,12,8,7,9,12,14,18
Tbc1d19,1192,764,669,741,885,807,903,863
Plekhs1,10,6,19,20,6,12,2,7
Mthfsl,187,124,126,158,119,116,125,130
Gm43157,0,0,0,0,0,0,0,0
Slfn9,3067,2097,2029,2081,1492,1436,910,992
Gm34788,0,0,0,0,0,0,0,0
Gm11878,17,11,6,4,6,8,6,6
Gm12976,0,4,4,0,2,0,2,2
Gm21051,0,0,0,0,0,0,0,0
Gm13936,0,0,4,0,0,0,0,0
Gm23043,0,0,0,0,0,0,0,0
Kcnk1,9,14,12,5,4,6,2,0
Gm4825,0,0,0,0,0,0,0,0
Cabp1,165,151,117,112,158,176,220,237
Maob,457,285,195,249,189,206,263,311
Gm38708,2,6,7,8,1,4,0,11
Golt1a,0,0,0,0,0,0,0,0
Zfp282,987,644,728,641,778,773,680,645
Gm49614,0,0,0,0,0,0,0,0
Gm38290,0,0,0,0,0,0,0,0
Gm13620,0,0,4,2,0,0,0,2
Snca,82,62,46,44,113,91,30,34
Mllt6,2112,1572,1170,1270,1565,1672,1688,1610
Gm50091,0,0,0,0,0,0,0,0
Smg1,4498,3273,3086,2484,3595,4687,3211,2756
Cfap44,11,2,0,2,1,4,2,10
4930572O13Rik,0,0,0,0,0,0,0,0
Gm47147,12,8,4,2,8,2,4,20
Ptrh2,1092,768,725,898,793,790,538,601
Ripply1,0,0,0,0,0,0,0,2
Gm4777,0,2,0,0,0,0,0,0
Vmn2r-ps84,0,0,0,0,0,0,0,0
Gm44086,2,2,0,0,0,0,0,0
Gm30531,12,5,6,4,2,10,11,12
Gm42654,0,0,0,0,0,0,0,0
Susd4,19,8,10,6,10,16,6,4
Gm38081,0,0,0,0,0,0,0,0
Xkr8,520,378,399,387,423,444,393,508
Map1a,13509,9412,8535,8522,10657,11831,9224,7607
Gm35585,0,0,0,0,0,0,0,0
Gm20646,0,0,0,0,0,0,0,0
Birc6,6889,4918,5001,4517,4658,6420,5201,3781
Selenok-ps1,2,1,0,0,1,2,0,2
Rnf133,0,0,0,0,0,0,0,0
Ang,149,113,104,106,101,101,125,145
Brip1os,5449,4046,3386,3639,3885,3806,3048,2669
1600023N17Rik,6,0,0,0,0,0,0,2
Pigyl,460,407,354,301,385,412,391,397
Rgs5,47,37,32,45,34,48,14,18
1700007L15Rik,48,26,20,19,26,24,20,28
Ncoa5,2124,1497,1449,1539,1556,1622,1459,1414
Scp2-ps2,309,200,119,144,229,238,249,307
Gm43638,0,0,0,0,0,0,0,0
Gm44727,0,0,0,0,0,0,0,0
Gm19010,0,0,0,0,0,0,0,0
Amer3,0,0,0,0,0,0,0,0
Gm36065,0,0,0,0,0,0,0,0
Gm39232,0,0,0,0,2,0,0,0
Gm28992,0,0,0,0,0,0,0,0
Gm44009,0,0,2,0,0,0,0,0
Olfr1186,0,0,0,0,0,0,0,0
Tcl1b2,0,0,0,0,0,0,0,0
Vmn1r-ps10,0,0,0,0,0,0,0,0
Mir138-1,0,0,0,0,0,0,0,0
Gm24338,0,0,0,0,0,0,0,0
Gm42583,0,0,0,0,0,0,0,0
4930557B06Rik,0,0,0,0,0,0,0,0
Vmn1r232,0,0,0,0,0,0,0,0
Gm43008,2,1,0,0,0,1,0,0
Gm18388,0,0,0,0,0,0,2,0
Gm40778,0,0,0,0,0,0,0,0
Atpif1,2113,1469,1366,1398,1635,1589,1341,1533
Nrg1,0,0,0,0,0,0,0,0
Gm28512,0,4,0,8,2,0,1,5
Gm18077,0,0,0,0,0,0,1,0
Gm15233,0,0,0,0,0,0,0,0
4930562F17Rik,0,0,0,0,0,0,2,0
Add2,6,4,15,9,14,7,2,2
Gm37947,0,0,0,0,0,0,0,0
Olfr1005-ps1,0,0,0,0,0,0,0,0
Tradd,632,438,378,440,468,454,406,505
Gm10425,13,6,15,15,10,17,2,8
Gm28461,0,0,0,0,0,0,0,0
Gm29737,2,0,0,0,0,0,0,0
Gm12099,0,0,0,0,0,0,0,0
Shq1,306,226,253,252,190,240,173,171
5031425F14Rik,2,0,0,0,0,0,2,7
9230102O04Rik,0,0,0,0,0,0,0,0
Gm49314,2,2,6,2,4,4,0,2
Gm49834,0,0,0,0,0,0,0,0
Gpr141,16,5,8,8,12,6,2,2
Gm14465,0,0,0,0,0,0,0,0
Gm38217,0,0,0,0,0,0,0,0
Tcl1,0,0,0,0,0,0,0,0
Best2,0,0,0,0,0,0,0,0
Gm17183,0,0,0,0,0,0,0,0
Higd1b,0,0,0,0,0,0,0,0
Klhl41,12,13,5,6,10,10,13,8
Obp1b,0,0,0,0,0,0,0,0
Gm8250,13,6,4,8,3,7,4,18
Naf1,945,712,772,731,642,705,621,619
Olfr1076,0,0,0,0,0,0,0,0
Prss38,0,2,0,0,0,0,0,2
Igfbp1,0,0,0,0,0,0,0,0
Gm28825,0,0,0,2,0,0,0,0
Fam135b,0,0,0,2,0,0,0,0
Gm45617,0,0,0,0,0,0,0,0
Gpx8,6216,4546,4015,4185,4118,4148,4583,4666
Gm12758,9,5,7,2,13,10,22,6
Amelx,0,0,0,0,0,0,0,0
Gm20743,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0
Tmem120b,272,206,202,199,176,203,152,143
5330426L24Rik,0,0,0,0,0,0,0,0
Resp18,0,0,0,0,0,0,0,0
Gm47184,2,0,2,0,2,6,6,7
Hand2os1,0,0,0,0,0,0,0,0
Gm36448,4,2,0,2,2,0,0,0
Gm3550,10,9,9,14,6,12,4,8
Parn,1847,1352,1244,1324,1278,1387,1572,1593
Gm18205,0,0,0,0,0,0,0,0
Gm31332,2,4,3,0,2,3,2,2
Insc,115,79,59,57,42,44,56,62
Gm18891,0,0,0,0,0,0,0,0
Gm12162,0,0,0,0,0,0,0,0
Gm5221,1,0,0,0,0,0,0,0
Gm15065,17,4,14,6,9,0,12,8
Gm41300,0,0,0,0,0,0,0,0
Gm50273,0,0,0,0,0,0,2,0
Gm37690,0,0,0,0,0,0,0,0
Gm21041,0,0,0,0,0,0,0,0
Olrf445-ps1,0,0,0,0,0,0,0,0
Zfp317,1220,804,716,837,936,987,809,847
Rnf138rt1,0,0,0,0,0,0,0,0
Gm32828,0,0,0,0,0,0,0,2
Dnajb6-ps,190,169,114,196,186,186,93,124
Gm49666,0,0,0,0,0,0,0,0
Cited1,2,0,4,0,0,0,0,0
Ifi27,5815,3916,3012,3291,3635,3718,4471,5032
Gm17949,0,0,0,0,0,2,0,0
Nuak1,5556,4018,4620,4266,3286,3256,4313,4324
Gm12268,0,0,0,0,0,0,0,0
Prr19,0,0,0,0,0,0,0,4
Gm19057,0,0,0,0,0,0,0,0
Gm16410,0,2,0,0,0,0,0,0
Sfxn5,202,163,141,134,159,156,254,261
Amdhd1,0,0,2,0,1,2,3,0
1110025L11Rik,0,0,0,0,0,0,0,0
H1f9,0,0,1,4,2,0,0,0
BC055324,289,257,310,256,242,228,89,108
Gm17790,0,0,0,0,0,0,0,0
Nanos3,0,0,0,2,0,0,0,2
Mettl6,1057,662,622,714,694,758,601,595
Gm37725,0,0,0,0,0,0,0,0
Asic4,0,6,2,0,0,0,4,2
Gm4373,0,0,0,0,0,0,0,0
Gm12294,0,0,0,0,0,0,0,0
Olfr201,0,0,0,0,0,0,0,0
Stk38,3403,2611,2137,2048,2645,2709,2273,2460
Trip11,3906,2517,2755,2607,2525,2730,2422,1854
Hecw1,18,5,34,32,2,34,2,3
Olfr397,0,0,0,0,0,0,0,0
Gm40910,0,0,0,0,0,0,0,0
Haus8,959,641,674,716,541,620,278,324
Gm28131,0,0,0,0,0,0,0,0
Gm49149,0,0,0,0,0,0,0,0
Tigd5,196,153,91,116,158,111,136,158
Gm9004,0,0,0,0,0,0,0,0
Capn2,22521,15318,16378,16567,14714,14912,10047,10642
Uba7,160,94,70,53,74,76,146,299
Gm12904,0,0,0,0,0,0,0,0
Rps27a-ps3,1766,1245,960,1185,1085,1202,937,1207
Chd4,24262,16826,15717,15116,17090,18251,15150,14454
4930477G07Rik,0,0,0,0,0,0,0,0
Gm22671,0,0,0,0,0,0,0,0
Gm23622,0,0,0,0,0,0,0,0
Gm8495,2,4,2,2,0,0,0,0
Gtf3a,346,237,219,212,254,224,232,207
Tmem240,8,16,4,20,10,14,19,30
Gm28535,3,2,0,0,0,0,2,2
Gm21070,0,0,0,0,0,0,0,0
Inpp5d,5,6,6,0,2,4,6,4
Gm20503,0,0,0,0,0,0,0,0
Gm11623,0,0,0,0,0,0,0,0
Gm20647,2,0,0,0,0,0,0,0
Gm19212,0,0,0,0,0,0,0,0
Gm11618,0,0,0,0,0,0,0,0
Gm17416,0,0,0,0,0,0,0,0
Duxbl1,5,4,0,0,2,0,2,0
2810001G20Rik,97,48,51,62,58,69,18,28
Gm14576,0,0,0,0,0,0,0,0
Spesp1,0,2,0,0,0,0,0,0
Gm34388,4,0,0,2,2,4,0,0
Bin2,2,2,0,0,0,0,0,0
Bscl2,1443,1151,934,990,1085,1103,1633,1658
Gm11331,0,0,0,0,0,0,0,0
Gm5446,48,48,30,40,40,56,48,44
Zmym1,257,208,245,238,186,219,195,155
1810044D09Rik,17,5,8,14,18,12,14,17
Klk1b21,0,0,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0,0,0
Gm6729,0,0,0,0,0,0,0,0
A430057M04Rik,11,4,8,12,15,19,6,10
Gm29171,0,0,0,0,0,0,0,0
Gm15690,9,6,2,0,8,6,4,4
Gm48659,0,0,0,0,0,0,0,0
Cnnm1,27,24,39,29,14,25,26,36
Gm46629,0,0,0,0,0,0,0,0
Rb1cc1,7276,5001,4337,4193,4125,4578,2822,2747
Oacyl,50,34,41,29,18,20,0,0
Septin2,0,0,0,0,0,0,0,0
Gm38261,0,2,0,2,2,0,2,0
Il21,0,0,0,0,0,0,0,0
Gm13022,0,0,0,0,0,0,0,0
Olfr1326-ps1,0,0,0,0,0,0,0,0
Zfp592,2185,1515,1732,1677,1700,1806,1772,1688
Scgb2b25-ps,0,0,0,0,0,0,0,0
Gm11661,0,0,0,0,0,0,0,0
Gm21387,0,0,0,0,0,0,0,0
Olfr1152,0,0,0,0,2,0,1,0
Hapln1,0,2,0,2,0,0,0,2
Gm23219,0,0,0,0,0,0,0,0
Gm30839,0,0,0,0,0,0,0,0
Nlrc4,10,4,6,9,14,12,8,14
Gm28938,0,0,0,0,0,0,0,0
Gm28164,0,0,0,0,0,0,0,0
Gm28661,9738,5201,7640,6864,7126,7589,6689,7320
Gm14486,0,2,0,0,0,2,9,0
4930535F04Rik,0,0,0,0,0,0,0,0
Gm7624,0,0,0,0,0,0,0,0
Gstm4,459,398,310,268,391,400,550,595
Gm48288,0,0,0,0,0,0,0,0
Elavl1,3899,2622,2778,2707,2722,2468,2084,2116
Gm9968,14,16,12,19,12,14,10,12
Fscn2,0,2,4,2,0,4,2,7
Asic2,0,0,0,2,0,0,0,0
Gm47507,2,0,0,4,0,0,0,0
Gm6853,0,0,2,0,0,0,0,0
Gm28491,0,0,0,0,0,0,0,0
n-R5s65,0,0,0,0,0,0,0,0
Gm14968,0,0,0,0,0,0,0,0
Gm29192,0,0,0,0,0,0,0,0
Pcsk1,6,6,2,4,0,0,0,0
Gm12383,0,0,0,0,0,0,0,0
Gm47369,0,0,0,0,0,0,0,0
Gm12969,18,12,16,10,4,4,6,4
Gm45675,0,0,0,0,0,0,0,0
Tra2a,3590,2328,2352,2600,2340,2500,1557,1770
Zscan4a,0,0,0,0,0,0,0,0
Gm6418,0,0,0,0,0,0,0,0
Gm13215,137,76,47,64,54,59,71,40
Cyp2j5,0,0,0,0,0,0,0,0
Plpp2,1687,1252,1102,1084,1317,1351,840,907
Gm9430,1,2,2,4,2,2,4,3
Zic3,0,0,0,0,0,0,0,0
1810063I02Rik,2,2,0,0,0,0,0,0
Gm12335,27,6,6,10,10,5,15,2
Gm45175,0,0,0,0,0,0,0,0
Gm43967,0,0,0,0,0,0,0,0
Siglecl1,0,0,0,0,0,0,0,0
Gm6128,0,1,2,0,0,0,0,0
Elovl5,5894,4121,3776,3965,4143,4262,4025,3590
Nmd3,1971,1403,1398,1482,1354,1242,977,907
Gm20753,6,0,6,8,0,3,0,4
Gtpbp3,728,464,473,467,467,603,665,719
Gm9142,0,0,0,0,0,0,0,2
Gm29383,0,0,0,0,0,0,0,0
1700123L14Rik,4,2,4,2,0,2,2,2
Gm43767,5,2,2,0,2,0,2,0
Kbtbd13,2,2,2,2,0,0,0,0
Btbd35f9,0,0,0,0,0,0,0,0
Gm24853,0,0,0,0,0,0,0,0
Gm48092,0,0,0,0,0,0,0,0
Trpc2,0,0,0,0,0,0,0,0
Gm13602,1,4,0,0,0,0,4,0
Grpel1,2669,1668,1814,1917,1731,1799,1138,1315
Med31,280,232,146,165,199,202,142,184
Gm20816,0,0,0,0,0,0,0,0
Pitpnm2os2,0,0,0,0,0,2,0,0
Olfr25,0,0,0,0,0,0,0,0
Tacc3,2933,2119,1891,1879,2186,2175,572,579
Larp1,12115,8611,9496,8593,8701,9045,6118,5689
Plcd3,503,354,391,381,300,366,227,322
Cacna1d,11,2,6,15,6,4,4,10
Gm6505,89,50,69,59,71,47,28,47
Gm5215,0,0,0,0,0,0,0,0
Gm15406,0,0,0,0,0,0,0,0
Stat5b,1775,1116,1218,1116,1180,1200,1384,1373
Gm21782,0,0,0,0,0,0,0,0
Kcnj1,0,0,0,0,0,0,0,0
Slc6a8,7345,5214,6237,6222,5048,5120,3118,3223
Hmx1,0,0,0,0,0,0,0,0
Gm14853,10,6,7,4,4,4,6,2
Pcbp3,552,408,454,422,430,398,314,306
Mirlet7a-2,0,0,0,0,0,0,1,0
Gm45652,0,0,0,0,0,0,0,0
Bms1,3886,2642,2830,2865,2573,2822,1770,1943
Kif26a,18,20,14,24,20,31,12,15
2700046G09Rik,46,26,44,33,30,22,44,48
Gm35940,69,42,63,64,49,56,12,20
Gm8983,229,108,83,121,131,83,107,150
Gm12199,2,0,0,0,0,0,2,0
Gm5924,0,0,0,0,0,0,0,0
6030400A10Rik,2,0,2,2,0,2,9,8
Gm31025,0,0,0,0,0,0,0,0
Gm33626,0,0,0,0,0,0,0,0
Gm28725,0,0,0,0,0,0,0,0
Irag1,656,367,447,406,265,322,182,180
Gm3321,0,0,0,0,0,0,0,0
Fhit,12,8,16,18,9,11,15,29
Plekhf1,1633,1249,1172,1127,1114,1075,1037,1259
Add3,1360,1048,925,959,1095,1214,1232,1246
ENSMUSG00000104144,0,0,0,0,0,0,0,0
Tmem82,1,4,2,2,0,2,0,4
Gm45040,0,0,0,0,0,0,0,0
Gm14013,0,0,0,0,0,0,0,0
4930572O03Rik,0,0,0,0,0,0,0,0
F630206G17Rik,0,0,0,0,0,0,0,0
Ceacam9,0,0,0,0,0,0,0,2
Gm38320,0,0,0,0,0,0,0,0
Gm50138,0,0,0,0,0,0,0,0
Hyal2,1201,968,799,882,905,889,837,818
Gm28348,0,0,0,0,0,0,0,0
Gss,1109,841,1025,1116,922,796,405,477
4930502C17Rik,0,0,0,0,0,0,0,0
Gm42891,0,0,0,0,0,0,0,0
Mir1960,0,0,0,0,0,0,0,0
Slfn5,294,165,148,170,145,187,447,511
Gm24203,0,0,0,0,0,0,0,0
mt-Co3,6928,5926,3773,4428,3611,4525,2958,4785
Rabgap1,4184,2945,2627,2687,2950,3111,3099,2851
Gm48289,0,0,0,0,0,0,0,0
Gm17791,0,0,2,2,0,0,0,2
Gm48665,0,0,0,0,0,0,0,0
Gm20526,0,0,0,0,0,0,0,0
Gm44770,0,0,0,0,0,0,0,0
Xkr4,8,2,2,2,12,8,8,0
6530403H02Rik,2,0,0,0,0,0,0,2
Gm20617,0,0,0,0,0,0,0,0
4930526F13Rik,0,0,0,0,0,0,0,0
Adipor1,10521,7599,7094,7377,7541,7528,6407,6259
Gm43572,0,0,2,0,0,0,0,0
Gm28565,0,0,0,0,0,0,0,0
Gm37011,0,0,0,0,0,0,0,0
Gm11245,0,0,0,0,0,0,0,0
Slc22a13,0,0,0,0,0,0,0,0
Mpdz,5208,3497,3363,3193,3839,4102,2718,2234
Apbb2,4098,2930,2948,2916,3214,3422,3756,3388
Olfr204,0,0,1,0,0,0,0,1
Oprl1,6,2,16,2,0,12,14,14
Pdgfb,116,91,96,94,57,50,38,49
Gm22357,0,0,0,0,0,0,0,0
Gm15385,0,0,0,0,0,0,0,0
Gm9856,16,32,8,18,28,27,19,31
Gm23262,0,0,0,0,0,0,0,0
Gm26357,0,0,0,0,0,0,0,2
Gm23067,0,0,0,0,0,0,0,0
Gm50179,0,0,0,0,0,0,0,0
Gm25338,0,0,0,0,0,0,0,0
Gm7275,0,0,0,0,0,0,0,0
Gm32340,0,1,0,0,0,2,0,0
4930429D17Rik,0,0,0,0,0,0,0,0
Ptpre,121,80,90,64,90,96,193,151
4930584F24Rik,0,0,0,0,0,0,0,0
Gm24000,0,0,0,0,0,0,0,0
Cdk2ap2,951,745,753,715,743,701,605,717
Gm50161,0,0,0,0,0,0,0,0
Gm25045,0,0,0,0,0,0,0,0
1810062O18Rik,2,8,2,5,14,11,11,1
Gm28338,0,0,0,0,0,0,0,0
Gm48552,0,0,0,2,2,0,0,0
Gm44948,0,0,2,0,0,0,0,0
Mir6384,0,0,0,0,0,0,0,0
Olfr1389,0,2,0,0,0,0,0,0
1700061A03Rik,6,6,8,5,3,4,4,6
Gm37870,0,0,0,0,0,0,0,0
Gm43280,0,0,0,0,0,0,0,0
Tff3,0,0,0,0,0,0,0,0
Aoc3,5363,3878,3326,3344,3236,3081,4402,4335
Ap5m1,651,412,418,431,368,448,528,421
Gm15057,7,4,4,0,3,2,0,2
Gm42924,0,0,0,0,0,0,0,0
Ccnb1-ps,93,55,109,102,82,69,58,28
Gm4973,12,18,23,14,9,18,8,16
Klf16,1570,1251,1222,1113,1097,996,946,889
2210009P08Rik,0,0,0,0,0,0,0,0
Gm44746,0,0,0,0,0,0,0,0
Zfp975,175,108,94,110,101,128,126,121
Prtn3,2,0,2,4,2,0,10,12
Trav6d-4,0,0,0,0,0,0,0,0
Gm18904,2,2,0,0,4,1,0,0
Gm48061,0,0,0,0,0,0,0,0
Gm35808,0,0,0,2,0,0,0,0
Tepsin,530,353,493,422,467,390,403,376
Cep78,507,331,324,369,353,323,245,238
Pla2r1,1801,1351,1119,1186,1265,1264,1888,1642
Mdk-ps1,0,0,0,0,0,2,0,0
Gm45179,0,0,0,0,0,0,0,0
Gm50084,0,0,0,0,0,0,0,0
Kcnh4,2,0,2,0,2,0,0,2
Gm11384,0,0,0,0,0,0,0,0
Gm24564,2,2,0,5,2,6,2,7
Sars,17439,11841,10863,11329,11841,12048,7723,8375
Gm49716,0,0,0,0,0,0,0,0
Gm24343,0,0,0,0,0,0,0,0
Ttc39c,424,327,262,285,373,342,433,488
Gm49516,0,0,0,0,0,0,0,0
Gm17740,2,0,0,3,0,0,4,0
A830073O21Rik,0,0,0,0,0,0,0,0
Mir1896,0,0,0,0,0,0,0,0
Ccnb3,0,0,0,0,0,0,2,0
A430072C10Rik,0,0,0,0,0,0,0,0
Gm14822,14,2,8,18,18,13,15,10
Gm31218,0,0,0,0,0,0,0,0
D11Wsu47e,534,357,339,377,385,417,324,390
Gm11333,0,0,0,0,0,0,0,0
Vmn1r-ps85,0,0,0,0,0,0,0,0
Spata48,4,2,6,4,2,2,0,2
Gm21871,0,0,0,0,0,0,0,0
